1	181
1	214
1	227
2	50
2	53
2	198
3	28
3	101
3	157
3	205
3	215
3	245
4	23
4	39
4	135
4	142
4	201
4	206
5	9
5	15
5	122
6	140
6	188
6	214
7	15
7	67
7	103
7	133
7	176
8	16
8	21
8	30
8	79
8	206
9	5
9	45
9	122
10	32
10	95
10	106
10	116
10	168
10	246
11	62
11	84
11	125
11	185
12	26
12	82
12	96
12	111
12	242
13	73
13	77
13	163
14	49
14	150
14	226
14	230
14	238
15	5
15	7
15	176
16	8
16	30
16	79
16	107
16	206
17	62
17	162
17	180
18	110
18	148
18	170
18	177
19	75
19	113
19	138
19	159
20	59
20	105
20	174
21	8
21	127
21	145
21	191
21	201
21	244
22	109
22	135
22	155
22	237
23	4
23	48
23	150
23	240
24	60
24	156
24	219
24	227
25	40
25	172
25	178
25	243
26	12
26	50
26	108
26	147
26	217
27	61
27	200
27	225
28	3
28	37
28	157
28	215
28	245
29	195
29	216
29	218
30	8
30	16
30	79
30	206
30	215
31	64
31	89
31	189
32	10
32	70
32	95
32	168
32	246
33	69
33	137
33	151
33	194
34	81
34	132
34	152
34	235
35	117
35	132
35	186
36	51
36	139
36	250
37	28
37	115
37	166
38	47
38	83
38	140
38	186
38	191
38	221
39	4
39	96
39	135
39	142
39	201
40	25
40	172
40	178
40	233
40	243
41	116
41	169
41	184
42	43
42	72
42	104
43	42
43	72
43	104
43	209
44	45
44	69
44	91
44	112
44	118
45	9
45	44
45	67
45	69
45	118
45	250
46	125
46	199
46	222
47	38
47	52
47	83
47	140
47	221
47	224
48	23
48	143
48	240
48	249
49	14
49	226
49	238
50	2
50	26
50	108
50	147
50	197
50	217
51	36
51	58
51	139
51	250
52	47
52	83
52	140
53	2
53	101
53	107
53	153
53	198
54	99
54	120
54	209
55	62
55	74
55	84
55	146
55	185
56	129
56	166
56	233
57	71
57	146
57	147
58	51
58	139
58	146
58	250
59	20
59	105
59	164
60	24
60	90
60	127
60	156
60	190
60	227
61	27
61	97
61	192
62	11
62	17
62	55
62	74
63	68
63	181
63	211
64	31
64	89
64	131
64	189
65	66
65	221
65	234
66	65
66	213
66	234
67	7
67	45
67	133
67	176
68	63
68	92
68	141
68	182
68	211
69	33
69	44
69	45
69	112
70	32
70	85
70	208
70	247
71	57
71	120
71	146
71	193
71	219
71	229
72	42
72	43
72	104
72	242
73	13
73	77
73	229
74	55
74	62
74	84
74	158
74	185
75	19
75	138
75	159
75	204
76	78
76	223
76	239
77	13
77	73
77	90
78	76
78	223
78	239
79	8
79	16
79	30
80	151
80	232
80	236
81	34
81	88
81	94
81	152
81	160
81	235
82	12
82	96
82	111
82	242
83	38
83	47
83	52
83	138
83	140
84	11
84	55
84	74
85	70
85	100
